2025-04-20T10:07:42.876448100; MARTINA; DEPOSIT; BGN; 10x10,50x10; 600

2025-04-20T10:07:44.542159900; MARTINA; DEPOSIT; EUR; 100x10,20x10; 1200

2025-04-20T10:07:46.625570700; MARTINA; WITHDRAWAL; BGN; 10x1,50x1; 60

2025-04-20T10:07:48.547418700; MARTINA; WITHDRAWAL; EUR; 100x1,20x1; 120

2025-04-20T10:15:54.507759300; MARTINA; WITHDRAWAL; BGN; 10x5,50x1; 100

2025-04-20T10:15:58.170194400; MARTINA; WITHDRAWAL; EUR; 10x0,50x10; 500

2025-04-20T10:17:34.106519400; MARTINA; WITHDRAWAL; EUR; 50x10; 500

2025-04-20T10:18:14.056733500; MARTINA; DEPOSIT; BGN; 10x10,50x10; 600

2025-04-20T10:19:07.667571900; MARTINA; DEPOSIT; EUR; 20x5,50x2; 200

